date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-03-02,8889.002214258091,1.7576716537443684,0.051176089504771684,8889.81106200134,1.0,0.0,1.0,1.80884774324914
2020-03-03,8888.390996644624,2.3302142184111134,0.08985113830486069,8889.81106200134,1.0,0.0,1.0,2.4200653567159742
2020-03-04,8887.580756078034,3.0891823763775244,0.14112354693148071,8889.81106200134,1.0,0.0,1.0,3.2303059233090052
2020-03-05,8886.506744961425,4.09522235344213,0.20909468647527357,8889.81106200134,1.0,0.0,1.0,4.304317039917404
2020-03-06,8885.083195473015,5.428666741495431,0.2991997868335578,8888.81106200134,2.0,0.0,2.0,5.727866528328989
2020-03-07,8883.196528496559,7.195892848979275,0.4186406558063045,8887.81106200134,3.0,0.0,3.0,7.614533504785579
2020-03-08,8880.696393250528,9.537710768711355,0.5769579821068685,8885.81106200134,5.0,0.0,5.0,10.114668750818224
2020-03-09,8877.383864970865,12.640409486794248,0.786787543685127,8882.81106200134,8.0,0.0,8.0,13.427197030479375
2020-03-10,8872.995930894962,16.750272662814375,1.06485844356815,8878.81106200134,12.0,0.0,12.0,17.815131106382523
2020-03-11,8867.185157167347,22.19259599989622,1.4333088341030906,8870.81106200134,20.0,0.0,20.0,23.62590483399931
2020-03-12,8859.493141528883,29.39650365265436,1.9214168198099064,8858.81106200134,32.0,0.0,32.0,31.317920472464266
2020-03-13,8849.316032823122,38.92715751288385,2.567871665341284,8845.81106200134,44.0,1.0,45.0,41.49502917822514
2020-03-14,8835.860061348847,51.527256932387985,3.4237437201131327,8825.81106200134,63.0,2.0,65.0,54.951000652501115
2020-03-15,8818.084736014018,68.16997580704204,4.556350180287437,8806.81106200134,81.0,3.0,84.0,72.72632598732947
2020-03-16,8794.631248904456,90.12555731552766,6.054255781364771,8778.81106200134,108.0,4.0,112.0,96.17981309689243
2020-03-17,8763.733909875027,119.0434645182088,8.033687608111853,8736.81106200134,149.0,5.0,154.0,127.07715212632064
2020-03-18,8723.113507576218,157.05088384461675,10.64667058051429,8692.81106200134,193.0,5.0,198.0,167.69755442513105
2020-03-19,8669.854000127249,206.86587757061403,14.09118430348492,8622.81106200134,262.0,6.0,268.0,220.95706187409894
2020-03-20,8600.268833937567,271.91865977039896,18.623568293383727,8546.81106200134,337.0,7.0,344.0,290.54222806378266
2020-03-21,8509.77180153892,356.4660554751617,24.57320498726567,8469.81106200134,410.0,11.0,421.0,381.03926046242736
2020-03-22,8392.7811470552,465.67080857446,32.35910637168617,8388.81106200134,487.0,15.0,502.0,498.02991494614616
2020-03-23,8242.70552966681,605.5982147260318,42.50731760850528,8295.81106200134,570.0,25.0,595.0,648.1055323345371
2020-03-24,8052.085398699765,783.0587405831967,55.66692271838455,8164.811062001339,689.0,37.0,726.0,838.7256633015812
2020-03-25,7812.987048224921,1005.2031581581846,72.62085561824107,8008.811062001339,828.0,54.0,882.0,1077.8240137764255
2020-03-26,7720.599427760634,1077.7600085740203,92.45162566669337,7855.811062001339,963.0,72.0,1035.0,1170.2116342407137
2020-03-27,7622.809308425549,1154.2995179610416,113.70223561475389,7697.811062001339,1100.0,93.0,1193.0,1268.0017535757954
2020-03-28,7519.506758660142,1234.8553954891702,136.44890785203182,7534.811062001339,1226.0,130.0,1356.0,1371.304303341202
2020-03-29,7410.610055326419,1319.4327677033773,160.7682389715474,7397.811062001339,1333.0,160.0,1493.0,1480.2010066749247
2020-03-30,7296.0697348212,1408.0047045093718,186.73662267077194,7206.811062001339,1484.0,200.0,1684.0,1594.7413271801438
2020-03-31,7175.872563539093,1500.5088880734534,214.4296103887971,7018.811062001339,1638.0,234.0,1872.0,1714.9384984622504
2020-04-01,7050.045291844338,1596.8445684271546,243.92120172985042,6825.811062001339,1794.0,271.0,2065.0,1840.7657701570051
2020-04-02,6918.6580751222755,1696.8698957051515,275.2830911739156,6674.811062001339,1908.0,308.0,2216.0,1972.1529868790672
2020-04-03,6781.827415779855,1800.39978338766,308.5838628338279,6490.811062001339,2042.0,358.0,2400.0,2108.983646221488
2020-04-04,6639.718483307995,1907.2044275117532,343.8881511815956,6337.811062001339,2140.0,413.0,2553.0,2251.092578693349
2020-04-05,6492.546676564862,2017.0086039648381,381.25578147164333,6241.811062001339,2209.0,440.0,2649.0,2398.2643854364815
2020-04-06,6340.578296615916,2129.491859891175,420.7409054942522,6122.811062001339,2294.0,474.0,2768.0,2550.2327653854272
2020-04-07,6184.130239890715,2244.289674245422,462.39114786520673,5981.811062001339,2402.0,507.0,2909.0,2706.6808221106285
2020-04-08,6023.568602792562,2360.995672279333,506.24678692944804,5860.811062001339,2477.0,553.0,3030.0,2867.242459208781
2020-04-09,5859.306143950919,2479.1649285296335,552.3399895207905,5728.811062001339,2558.0,604.0,3162.0,3031.504918050424
2020-04-10,5691.798669222314,2598.318278854466,600.6941139245637,5612.811062001339,2621.0,657.0,3278.0,3199.0123927790296
2020-04-11,5521.540309260011,2717.9476464429135,651.3231062984192,5377.811062001339,2809.0,704.0,3513.0,3369.2707527413327
2020-04-12,5349.057775049073,2837.522277766565,704.231009185706,5229.811062001339,2857.0,804.0,3661.0,3541.753286952271
2020-04-13,5174.903755186163,2956.495711780836,759.411595034345,5053.811062001339,2938.0,899.0,3837.0,3715.907306815181
2020-04-14,4999.649616891819,3074.313307582105,816.8481375274192,4846.811062001339,3069.0,975.0,4044.0,3891.1614451095243
2020-04-15,4823.877596943225,3190.4201344915145,876.5133305666035,4704.811062001339,3123.0,1063.0,4186.0,4066.933465058118
2020-04-16,4648.1727229348135,3304.268979764123,938.3693593024076,4472.811062001339,3269.0,1149.0,4418.0,4242.6383390665305
2020-04-17,4473.114711514294,3415.3282283519725,1002.3681221350774,4330.811062001339,3372.0,1188.0,4560.0,4417.69635048705
2020-04-18,4299.2700693440875,3523.0893919747655,1068.4516006824904,4156.811062001339,3488.0,1246.0,4734.0,4591.540992657256
2020-04-19,4127.184627767211,3627.0740662733683,1136.552367960764,3974.8110620013395,3602.0,1314.0,4916.0,4763.626434234133
2020-04-20,3957.3767521605932,3726.8400887512867,1206.5942210894646,3799.8110620013395,3735.0,1356.0,5091.0,4933.434309840752
2020-04-21,3790.331317658261,3821.986822782803,1278.492921560281,3605.8110620013395,3865.0,1420.0,5285.0,5100.479744343083
2020-04-22,3626.494683686918,3912.1593469596696,1352.1570313547568,3370.8110620013395,4052.0,1468.0,5520.0,5264.316378314426
2020-04-23,3466.2706856540185,3997.0515639764344,1427.4888123708909,3222.8110620013395,4145.0,1523.0,5668.0,5424.540376347325
2020-04-24,3310.0176917242534,4076.4081925546125,1504.385177722478,3099.8110620013395,4231.0,1560.0,5791.0,5580.793370277091
