Fecha,Fallecidos acumulados,Positivos acumulados,Recuperados acumulados
6/3/2020,0,1,0
7/3/2020,0,1,0
8/3/2020,0,1,0
9/3/2020,0,3,0
10/3/2020,0,3,0
11/3/2020,0,9,0
12/3/2020,0,14,0
13/3/2020,0,19,1
14/3/2020,0,37,2
15/3/2020,0,54,3
16/3/2020,1,67,3
17/3/2020,1,92,4
18/3/2020,1,104,4
19/3/2020,1,130,5
20/3/2020,1,178,6
21/3/2020,1,212,10
22/3/2020,2,241,13
23/3/2020,3,314,22
24/3/2020,4,419,33
25/3/2020,8,480,46
26/3/2020,10,490,62
27/3/2020,13,539,80
28/3/2020,17,608,111
29/3/2020,18,702,140
30/3/2020,23,798,176
31/3/2020,28,905,205
1/4/2020,32,1065,236
2/4/2020,37,1161,268
3/4/2020,48,1266,303
4/4/2020,63,1406,344
5/4/2020,71,1485,362
6/4/2020,81,1579,384
7/4/2020,89,1708,409
8/4/2020,93,2054,450
9/4/2020,105,2223,486
10/4/2020,110,2474,526
11/4/2020,118,2709,558
12/4/2020,130,2776,628
13/4/2020,137,2852,695
14/4/2020,148,2978,729
15/4/2020,159,3104,777
16/4/2020,173,3232,798
17/4/2020,177,3437,815
18/4/2020,187,3620,830
19/4/2020,194,3794,866
20/4/2020,200,3977,870
21/4/2020,206,4149,870
22/4/2020,206,4356,870
